title,year
Salad Days (Tang LiuZang) - Part 2,2021
The Master of Diabolism,2017
JoJo's Bizarre Adventure Part 7: Steel Ball Run,2004
A Sign of Affection,2019
Moriarty the Patriot,2016
Classroom of the Elite (Light Novel),2015
Who Made Me a Princess,2017
Demon Slayer: Kimetsu no Yaiba,2016
Omniscient Reader (Novel),2018
Omniscient Reader,2020
Tower of God - Part 3,2019
Yotsuba&!,2003
Bastard,2014
Tower of God - Part 2,2012
I’m Really Not the Devil’s Lackey,2021
"Umarekawatte mo mata, Watashi to Kekkon shite kuremasu ka?",2017
Banana Fish,1985
Teenage Mercenary,2020
I Want to Eat Your Pancreas (Novel),2015
Our Dreams at Dusk: Shimanami Tasogare,2015
Spirit Fingers!,2015
Your Letter,2018
Only I Level Up (Novel),2016
Bloom Into You,2015
The Male Lead's Little Lion Daughter,2021
20th Century Boys,1999
Vagabond,1998
Roxana,2021
Nano Machine,2020
GTO,1996
Level Up with the Gods,2021
Kaguya-sama: Love Is War,2015
Sign,2017
Three Days of Happiness (Light Novel),2013
The Legend of the Northern Blade,2019
The Horizon,2016
Skip Beat!,2002
10 Years That I Loved You the Most,2018
Pirouette into My Heart,2019
Classroom of the Elite: Year 2 (Light Novel),2020
SQ: Begin W/Your Name!,2014
Spice and Wolf (Light Novel),2006
Mage & Demon Queen - Part 3,2021
Mage & Demon Queen - Part 2,2019
Kamisama Kiss,2008
Vinland Saga,2005
Heesu in Class 2,2017
Blue Period.,2017
Shokuba to Jitaku de Gyappu no Aru Papa,2020
Kaichou wa Maid-sama! Marriage,2013
Return of the Blossoming Blade,2021
Chainsaw Man,2018
Kirai de Isasete 2nd,2019
Sasaki and Miyano,2016
The Fantasie of a Stepmother - Part 2,2021
Oshi no Ko,2020
The Legendary Moonlight Sculptor - Part 2,2016
Natsume's Book of Friends,2003
Slam Dunk,1990
Blanc,2018
King of Wolves (Mawei),2020
Jujutsu Kaisen 0,2017
Nausicaa of the Valley of the Wind,1982
Seasons of Blossom,2020
Attack on Titan,2009
King's Maker: Triple Crown,2019
Cherry Blossoms After Winter,2017
Purple Hyacinth,2019
Goodnight Punpun,2007
SSS-Class Revival Hunter,2020
Soulmate,2020
Graduate,2008
Kono Oto Tomare!,2012
Bungo Stray Dogs,2012
The Apothecary Diaries,2017
Sweet Home,2017
Made in Abyss,2012
Overgeared (Novel),2014
Hirano to Kagiura,2019
Who Made Me a Princess (Novel),2017
Winter Woods - Part 2,2015
King's Maker,2017
Global Examination (Novel),2018
Timeless Melody,2019
Love Like Cherry Blossoms,2016
Beware the Villainess!,2020
JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,1992
Positively Yours,2020
Bungo Stray Dogs: BEAST,2019
Hooky,2015
BJ Alex,2017
Death Note,2003
Second Life Ranker,2019
"Welcome to Demon School, Iruma-kun",2017
On or Off,2019
Banana Fish: Another Story,1984
Third Ending,2021
Horimiya,2011
Watashitachi no Shiawase na Jikan,2008
Daiya no A: Act II,2015
Tokyo Ghoul,2011
The Remarried Empress,2019
The Promised Neverland,2016
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",2016
Pulse,2016
Land of the Lustrous,2012
Kizumonogatari: Wound Tale (Light Novel),2008
Tales of Demons and Gods (Novel),2015
Bakemonogatari: Monster Tale (Light Novel),2006
ReLIFE,2013
your name. (Light Novel),2016
A Man and His Cat,2018
Flawless: Specials,2020
Boy Meets Maria,2017
The Boxer,2019
Kiss the Abyss,2020
"Goodbye, Eri",2022
Like the Beast,2008
Therapy Game Restart,2019
My Love Mix-Up!,2019
The Reason Why Raeliana Ended up at the Duke's Mansion,2017
Maid-sama!,2006
The Breaker,2007
See You in My 19th Life,2020
Wolf Children: Ame & Yuki (Light Novel),2012
Pluto,2004
Villains Are Destined to Die (Novel),2019
Flawless - Part 2,2017
Violet Evergarden (Light Novel),2015
My Hero Academia,2014
No Longer Human (Novel),1948
Mob Psycho 100,2012
Her Tale of Shim Chong,2017
Flawless - Part 3,2018
Ouran High School Host Club,2002
Flawless - Part 4,2019
Lord of the Mysteries (Novel),2018
Into the Depths,2014
"So I'm a Spider, So What? (Light Novel)",2015
The Breaker: New Waves,2010
Path to You,2019
Mushishi,1999
Hajime no Ippo,1989
Ascendance of a Bookworm (Light Novel),2015
Once More,2019
The Saga of Tanya the Evil (Light Novel),2013
The Case Study of Vanitas,2015
King's Maker: Triple Crown - Part 2,2020
The King’s Avatar (Novel),2011
The Rebirth of the Malicious Empress of Military Lineage (Novel),2015
Yuki no Yousei,2021
Tales of Demons and Gods,2015
One-Punch Man (Webcomic),2011
Equipoise,2019
Classmates,2006
The Legendary Mechanic (Novel),2017
Kirai de Isasete,2018
SSS-Class Suicide Hunter (Novel),2018
Sengoku Komachi Kuroutan: Noukou Giga,2017
Hunter x Hunter,1998
After School Lessons for Unripe Apples,2020
Castle Swimmer,2019
BECK: Mongolian Chop Squad,2000
Little Rabbit and the Big Bad Leopard,2021
Goma Shio to Purin,2018
One Room Angel,2017
Nana,2000
Tower of God,2010
Dark Mortal - Part 2,2019
Kami Nomi zo Shiru Sekai,2008
Three Lifetimes,2017
Re:ZERO -Starting Life in Another World- (Light Novel),2014
WEE!!!,2021
The Legendary Moonlight Sculptor - Part 3,2019
Under the Greenlight,2021
Moonlight Garden,2017
Gintama,2003
The Second Coming of Gluttony (Novel),2017
Light and Shadow,2016
The World's Greatest First Love: The Case of Ritsu Onodera,2006
Unintentional Love Story,2018
Wotakoi: Love is Hard for Otaku,2014
The Monstrous Duke's Adopted Daughter,2019
Kamisama no Uroko,2016
Overlord,2014
Kimi wa Houkago Insomnia,2019
Under the Oak Tree (Novel),2017
I Become a Fool When It Comes to My Daughter,2021
The World After the Fall,2022
Remarried Empress (Novel),2018
Unholy Blood,2020
Our Dining Table,2015
Surviving Romance,2021
Golden Kamuy,2014
Welcome Home,2015
To Your Eternity,2016
Reverend Insanity (Novel),2012
"My Youth Romantic Comedy Is Wrong, As I Expected (Light Novel)",2011
The Savior's Book Cafe Story in Another World,2019
Fluttering Feelings,2014
KonoSuba: God's Blessing on This Wonderful World! (Light Novel),2013
Becoming the Villain’s Family (Novel),2020
Seaside Stranger: Harukaze no Étranger,2014
Love Advice from the Great Duke of Hell,2018
After-School Hanako-kun,2018
Monthly Girls' Nozaki-kun,2011
Bungo Stray Dogs (Light Novel),2014
Your Lie in April,2011
I Can Do It (Novel),2020
The Faraway Paladin (Light Novel),2016
Lout of Count’s Family,2020
Noragami: Stray God,2010
Supernatural Movie Actor App (Novel),2020
Rurouni Kenshin,1994
Kusuriya no Hitorigoto: Maomao no Koukyuu Nazotoki Techou,2017
Ghost Teller - Part 2,2019
Unromantic,2020
Kirai de Isasete 4th,2022
My Life as an Internet Novel,2017
The Villainess Turns the Hourglass,2020
Opium,2020
Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai (Light Novel),2011
The Reason Why Raeliana Ended up at the Duke's Mansion: Side Stories,2021
Pink Heart Jam,2019
Akira,1982
Skip and Loafer,2018
Fruits Basket,1998
My Neighbor Totoro,1988
Spirited Away,2001
A Thousand Cranes,2018
Orange,2012
Accidental Mark (Novel),2020
Second Life Ranker (Novel),2017
The Legendary Moonlight Sculptor,2015
Keishichou Tokuhanka 007,2007
Yokohama Kaidashi Kikou,1994
Thousand Autumns (Novel),2015
Return of the Mad Demon,2021
Heavenly Demon Reborn!,2018
Engraved on My Heart,2020
Momentum,2015
Karina's Last Days,2021
What's Wrong with Secretary Kim?,2016
Saiki Kusuo no Ψ Nan,2012
Pigpen,2019
Bring the Love,2019
In the Clear Moonlit Dusk,2020
Frieren: Beyond Journey's End,2020
The Villain of Destiny,2021
No Game No Life (Light Novel),2012
Dorohedoro,2000
Ring My Bell,2019
Your Throne,2020
Fools,2016
Another Typical Fantasy Romance,2021
"Hikaeme ni Itte mo, Kore wa Ai",2021
Kase-san and Yamada,2017
One Outs,1998
Gourmet Hound,2017
I Reincarnated as a Legendary Surgeon,2022
Megumi and Tsugumi,2018
"Mom, I'm Gay",2017
Black Butler,2006
Barakamon,2008
Quickly Wear the Face of the Devil (Novel),2015
SK8 the Infinity,2021
Kirai de Isasete 3rd,2021
Record of Ragnarok,2017
"Play It Cool, Guys",2018
The Husky and His White Cat Shizun (Novel),2017
Until I Meet My Husband,2020
I Want to Eat Your Pancreas,2016
Martial Peak (Novel),2012
Mage & Demon Queen,2018
Lily,2016
Gakuen Babysitters,2009
Douluo Dalu 2: Jueshi Tangmen,2012
Lore Olympus,2018
Shiver: Junji Ito Selected Stories,1990
86: Eighty-Six (Light Novel),2017
